team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Alabama,North Dakota,17,289,241,309,2025-11-03,home,W,91,62,72.07390198492,48.2654410830825,122.972972972973,82.6666666666667,126.146115006708,84.6187275799352,74,75,57.135253020743,57.038722353144,#FFF9F3,#FFA028
Alabama,St. John's,17,11,37,7,2025-11-08,away,W,103,96,98.4032233896386,88.117914739183,124.096385542169,114.285714285714,126.997159120574,113.754804383501,83,84,77.4845863254409,77.4630269171852,#FFF7EE,#DDEAF5
Alabama,Purdue,17,6,1,32,2025-11-13,home,L,80,87,80,85.380360051371,112.676056338028,122.535211267606,115.314723658083,122.895752323497,71,71,69.3753559495195,69.4738088478645,#D9E7F4,#9EC3E3
Alabama,Illinois,17,8,2,23,2025-11-19,neutral,W,90,86,90,83.6418306476024,115.384615384615,110.25641025641,115.384615384615,107.233116214875,78,78,78,78,#D9E7F4,#FFF8F1
Alabama,Gonzaga,17,10,32,10,2025-11-24,neutral,L,85,95,75.2439030044086,86.6209538414512,110.38961038961,123.376623376623,106.304380629114,119.814514125644,77,77,70.7815638067893,72.2958770676281,#B2CFE8,#B3D0E9
Alabama,UNLV,17,119,86,192,2025-11-25,away,W,115,76,83.7216755567001,59.6270398398308,143.75,93.8271604938272,135.809759022077,96.7714151957572,80,81,61.6462882782159,61.6163768187252,#FFE1BD,#FFCF94
Alabama,Maryland,17,103,117,117,2025-11-26,neutral,W,105,72,76.9872639350021,50.6571928029629,138.157894736842,94.7368421052632,132.354767379609,89.4869301036177,76,76,58.1673523811904,56.6084820926436,#FFEAD0,#FFB353
Alabama,Clemson,17,38,66,18,2025-12-03,home,W,90,84,88.4507107943731,83.0752081557631,123.287671232877,115.068493150685,124.054524362549,117.752817908819,73,73,71.2998669326048,70.5505053985982,#FFFEFE,#C1D9ED
Alabama,UTSA,17,344,322,346,2025-12-07,home,W,97,55,53.9240424978143,18.4826480189351,124.358974358974,69.620253164557,143.461784876831,49.3283681731462,78,79,37.5877398598593,37.46859809767,#FFCF92,#FF9C1F
Alabama,Arizona,17,3,10,4,2025-12-13,neutral,L,75,96,56.1517319494978,80.096409958676,97.4025974025974,126.315789473684,92.4699838665358,130.389100426485,77,76,60.7242800329056,61.4287618341497,#76AAD7,#6BA3D4
Alabama,South Florida,17,44,59,35,2025-12-17,home,W,104,93,95.1914019067771,75.848144212947,130,116.25,129.724829655593,106.907498441902,80,80,73.379477282415,70.9474501960831,#FFF1DF,#FFF7EE
Alabama,Kennesaw State,17,150,131,188,2025-12-21,neutral,W,92,81,72.9849634718121,42.9285964208074,117.948717948718,102.53164556962,128.63859594217,78.9135460522435,78,79,56.7364428515863,54.3995277976574,#FFF3E5,#FF9C1F
Alabama,Yale,17,60,39,141,2025-12-29,home,W,102,78,73.6090121344639,45.7481105810818,143.661971830986,108.333333333333,159.246560356066,101.308014838748,71,72,46.2232979914155,45.1574445061422,#FFA83A,#FFE1BC
Alabama,Kentucky,17,25,36,21,2026-01-03,home,W,89,74,84.1063618827238,70.4237561746309,123.611111111111,102.777777777778,126.774430925918,107.367761632759,72,72,66.3433164467307,65.5911561381975,#FFF8EF,#FFF9F2
Alabama,Vanderbilt,17,14,7,31,2026-01-07,away,L,90,96,78.0152553523933,91.1730354929592,107.142857142857,115.66265060241,101.332039748383,117.321667068989,84,83,76.9897216577425,77.7120183941358,#9DC2E2,#C4DAEE
Alabama,Texas,17,34,18,96,2026-01-10,home,L,88,92,85.6198681258296,92,123.943661971831,131.428571428571,120.591363557506,131.428571428571,71,70,71,70,#F0F5FA,#649FD2
Alabama,Mississippi State,17,89,87,118,2026-01-13,away,W,97,82,83.3539969026923,59.9262211242871,125.974025974026,106.493506493506,133.231071922145,97.9427531454399,77,77,62.5634814012464,61.1849465118668,#FFE8CB,#FFD49E
Alabama,Oklahoma,17,33,15,108,2026-01-17,away,W,83,81,83,81,110.666666666667,108,110.666666666667,108,75,75,75,75,#C5DBEE,#FFFBF7
Alabama,Tennessee,17,16,33,13,2026-01-24,home,L,73,79,73,78.1794241526077,108.955223880597,119.69696969697,111.74508851293,120.168116357738,67,66,65.327255963964,65.0583753180164,#CADEEF,#B1CEE8
Alabama,Missouri,17,49,41,77,2026-01-27,home,W,90,64,70.2840744338553,46.7223522684608,121.621621621622,86.4864864864865,123.046159716998,83.1448783428318,74,74,57.1200877747882,56.1939029795801,#FAFCFD,#FF9C1F
Alabama,Florida,17,4,9,6,2026-02-01,away,L,77,100,56.4694235187251,77.5609747235809,97.4683544303797,128.205128205128,87.1917099620812,119.515998453971,79,78,64.7646703376767,64.8958932083489,#609CD1,#B5D1E9
Alabama,Texas A&M,17,41,44,47,2026-02-04,home,W,100,97,100,97,126.582278481013,122.784810126582,126.582278481013,122.784810126582,79,79,79,79,#FFF8F0,#9FC3E3
Alabama,Auburn,17,35,17,101,2026-02-07,away,W,96,92,93.8735693421842,86.6104635349602,128,122.666666666667,129.218240681874,119.784504409699,75,75,72.6473049368428,72.3052317674801,#FFF2E2,#B3D0E9
Alabama,Ole Miss,17,58,78,49,2026-02-11,away,W,93,74,75.9567304759348,60.8970731007539,125.675675675676,98.6666666666667,114.736395749149,92.3161734465109,74,75,66.2010776789617,65.9657683234004,#D6E6F3,#FFBE6C
Alabama,South Carolina,17,99,107,116,2026-02-14,home,W,89,75,80.4056329673318,67.564611220909,117.105263157895,97.4025974025974,112.924541239725,94.8830617652182,76,77,71.2029750881525,71.2082957315322,#CFE1F1,#FFC883
Alabama,Arkansas,17,15,6,45,2026-02-18,home,W,117,115,117,115,132.954545454545,130.681818181818,132.954545454545,130.681818181818,88,88,88,88,#FFE9CD,#69A2D3
Alabama,LSU,17,79,48,132,2026-02-21,away,W,90,83,83.3934956996591,75.0766777649325,125,115.277777777778,124.03870393658,111.831347514582,72,72,67.2318341396871,67.1338398700263,#FEFEFE,#EAF2F8
Alabama,Mississippi State,17,89,87,118,2026-02-25,home,W,100,75,69.6314472635348,35.7586448188802,133.333333333333,98.6842105263158,160.96566968381,84.2343108542148,75,76,43.2585702282444,42.4514006896407,#FFA331,#FF9E25
Alabama,Tennessee,17,16,33,13,2026-02-28,away,W,71,69,71,69,112.698412698413,111.290322580645,112.698412698413,111.290322580645,63,62,63,62,#CEE0F0,#EDF4FA
Alabama,Georgia,17,29,19,61,2026-03-03,away,L,88,98,85.0017533430233,92.5284872968398,117.333333333333,132.432432432432,119.336855222381,131.327991682229,75,74,71.2284173942954,70.4560285371063,#EAF2F9,#649FD2
Alabama,Auburn,17,35,17,101,2026-03-07,home,W,96,84,79.149581926114,49.8510818715569,135.211267605634,118.30985915493,142.660322368574,95.223225666393,71,71,55.4811461322968,52.3518096795064,#FFD197,#FFC986
Alabama,Ole Miss,17,58,78,49,2026-03-13,neutral,L,79,80,79,80,108.219178082192,109.58904109589,108.219178082192,109.58904109589,73,73,73,73,#BAD4EB,#F9FBFD
